Mixture,Ex1,Ex2,Ex3e,Ex4,Ex5b,Ex6a,Ex6b,Ex8,In1a,In1b,In1c,In3,In4a,In4b,In6a,In6b,In7,In8,End,Per,Ast,Oli,OPC,Mic,P.value,Correlation,RMSE
594,0.0778242820391173,0,0.257141023509282,0.126039324340584,0.0759907280155825,0.00405563031011656,0,0,0,0,0.0559674228579709,0.032130360463651,0.0251992792996753,0.029316461865761,0.0245551788353901,0.0545960799269185,8.38724257761141e-4,0.0263114619537062,0.0212450567744188,0.0119405982089188,0.0655403018988963,0.0633293688359482,0.0209179491202552,0.0270607674860458,0,0.63093899314448,0.874861554270346
787,0.117296584309318,0,0.1495409315058,0.228523837768462,0.140095722552902,0.0108242144653045,0,0,0,0.00231063200979177,0.0735932594470424,0.0187142217733641,0.00779608575428092,0.0262576248076165,0.0342926534897028,0.0262232097563765,9.63685293505363e-4,0.0501715741809138,0.0173652775675718,0.00825714862137169,0.0161543140586076,0.0349405737276889,0.00853302193764069,0.0281454269727388,0,0.53699174381968,0.914707969383978
961,0.14187182601643,0,0.168397984612364,0.169589497012506,0.0440679550071561,0.0049180283787119,0,0,0,0.0213079917321576,0.0897487818137042,0.0167692198880901,0.0098854069155258,0.0279259645403522,0.0338492388394999,0.0276231792071262,3.52275955495532e-4,0.0530129083583203,0.0175174008685588,0.00979633181219946,0.057559757711642,0.0508428502080888,0.0233289388096702,0.0316344623124007,0,0.603639810386084,0.890070885941613
428,0.0623356033365679,0,0.223235193886799,0.140086099885662,0.0309302166034324,0,0,0,0,0,0.0505999956185268,0.0333470338360558,0.0344359867595287,0.0236383774021107,0.0405394272606134,0.0707089116959087,7.38915836617251e-4,0.0281849318426415,0.0216692612881682,0.0118553992070568,0.0627383003118371,0.110824713709096,0.0183187536455725,0.0358128778738057,0,0.572658761003867,0.891760246082725
969,0.190180772711604,0,0.196806337032168,0.128912966060666,0.0757127247464963,0.00527831670296892,0,0,0,0.0186539481460908,0.0658101556839791,0.0307649356088603,0.00900124944605981,0.0216477890194957,0.0242194198488141,0.0284009528950319,5.14335850144726e-4,0.0316084605247224,0.018792841058478,0.00929144898805768,0.0361253181025086,0.0635176883742169,0.0192058326837216,0.0255545065159155,0,0.587187881695743,0.896340024423434
973,0.203786297500256,0,0.180640074860358,0.20701440522812,0.0481946243599682,0.00696731410200222,0,0,0,0,0.065866431216936,0.0274663495063907,0.0329096482316647,0.0192717106319931,0.0356779172133897,0.0168743001318473,0,0.0346720705728936,0.0195677708456312,0.0102380569757221,0.0415556569006485,0.027072092272037,0.00617422539211801,0.0160510540580246,0,0.594514636731649,0.895049632513491
981,0.193814830229726,0,0.174468165724938,0.182175235817767,0.0567071249581231,0.0111422568992902,0,0,0,0.00968485215005991,0.0804504985645701,0.0274291571257718,0.0125520015078534,0.0286155663026136,0.037377535564546,0.0268673954422612,3.15481982821424e-4,0.0486033688397214,0.0154772043016514,0.00865205467929986,0.0283388940883681,0.00873582903940039,0.0170673488161298,0.0315251979650873,0,0.571007182940691,0.903452213697555
989,0.314949472289836,0,0.148686681609365,0.136003583701418,0.0685634313683732,0.0059758269094686,0,0,0,0,0.0634660483359084,0.0202780325223952,0.0186818600038386,0.0256733321522167,0.027312936724492,0.00582822510094006,4.93533682148865e-4,0.0461291100795053,0.0161152288085682,0.00947574767115208,0.0160892100266145,0.0356761848096284,0.0169081408907965,0.0236934133133345,0,0.556726733176514,0.910564230666131
965,0.276915428286877,0,0.156991424400268,0.137047011911028,0.0523726366190842,0.00722028662676912,0,0,0,0.011581653826092,0.0768812349154094,0.0154720569592715,0.0159337683663913,0.0254232762226239,0.0311902932006408,0.0191490871999419,2.85417086825841e-4,0.0413492192222128,0.0178792279092804,0.00952870392818208,0.0208162409909102,0.0383155511481542,0.0216729063498534,0.0239745748301839,0,0.560292058043548,0.907884504765435
1052,0.276334772042181,0,0.171827771480833,0.134628667255247,0.0598304964617976,0.00463788711413853,0,0,0,0.00917185516634807,0.0747474286708805,0.0200549579544108,0.00693933337395897,0.0226481400053538,0.0335665310306988,0.0195633370414323,9.11606457240028e-4,0.0498311790412926,0.0139438563457241,0.0082925925795716,0.020660341596091,0.0316006227378138,0.0192165459459196,0.0215920776990672,0,0.590627768983922,0.901006468269379
1044,0.0814094445581096,0,0.172405209863402,0.149833357808059,0.0429397566793888,0,0,0,0,0.0175978608505659,0.0614864503516994,0.0364395024450167,0.0122535685726172,0.0187513212287275,0.0409914573243879,0.0510935011313491,0.00186983061519761,0.0320969910475867,0.0236575275407926,0.01265248807787,0.043723055724442,0.148090905680152,0.0202766711957253,0.0324310993049111,0,0.584715385822865,0.894764635964067
1020,0.0487227638485587,0,0.244166516388734,0.11701752291653,0.0534942825369245,0.00307562904468158,0,0,0,0.0280941337335452,0.0594904303144103,0.0310038391147573,0.0154626003259768,0.0160118695717347,0.0351103303323528,0.0577395228131002,5.18637452628364e-4,0.0247669164646104,0.0235891296853814,0.0140671851873926,0.0595982514371803,0.112427710015037,0.0195982893017881,0.036044439514676,0,0.568582478805314,0.890761418055626
