NAME	Ex1	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In2	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic
AC021860.1	1	1	20.2074086789696	31.107294046794	94.3855173683521	1	46.4474002421086	7.64208785107586	179.901861941198	74.6587617404145	66.4011400871311	101.394143983877	76.3953406748224	1	1	1	59.8198416349384	87.1144252460504
AC022100.1	1	1	1	1	1	1	1	1	1	1	1	1	56.3848949930604	1	1	85.9745014051537	1	1
AC024575.2	25.2181298673729	17.4171742888473	14.8996278251865	16.2281673181074	1	1	21.7836379052354	1	1	25.2594709950674	1	1	1	1	1	1	1	1
AC025647.1	1	1	19.7091073257389	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC068353.1	70.8983107034766	61.7372058920672	31.8436347631279	21.7099781233528	1	1	1	34.0389239364492	1	1	1	1	67.254325313324	1	1	1	1	125.8333553801
AC068491.1	31.4552920349324	28.8332137890076	1	28.8180936907456	24.2753158208462	22.1464331130219	1	1	1	1	54.7782287504467	28.4631701084643	1	180.516963858867	1	1	1	1
AC068580.3	1	1	1	15.6666813485082	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC068989.2	1	1	1	1	1	1	1	1	1	1	1	1	33.9872368926312	1	1	1	1	1
AC069154.2	47.0478269422112	60.77697324151	93.7619591760054	62.6924725525096	35.5797921944698	36.537141432117	23.0803363675397	49.0006407037176	60.9645290477037	40.2440275345378	31.7177042193222	1	1	1	1	1	1	1
AC073043.2	16.8242507990948	18.357493713709	27.3543945612928	21.4246430367507	1	1	1	1	1	1	1	1	1	1	1	78.1660264038834	1	1
AC078937.4	1	1	1	1	1	1	1	1	1	1	42.332772086078	1	1	1	1	1	1	1
AC079953.2	88.642575225782	80.1210648262186	73.642489481969	100.429717798992	168.662778684785	91.8396123805343	753.546296265531	564.897262991434	730.586024982498	347.239102549192	492.239986230746	373.522795267421	371.750731329513	257.739719663312	113.879614884601	1757.36261321285	479.935821299211	510.958316582671
AC084125.1	28.7256491627134	29.5367954282148	30.1913525556603	20.5473135017245	1	46.3252996857331	1	14.466300966681	1	35.6439570398018	25.2578619318384	1	1	1	1	1	1	1
AC087645.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	128.205054143472	1	1
AC090360.1	1	1	1	1	1	1	1	1	1	20.065007830969	1	1	1	1	1	1	1	1
AC091565.3	22.5892224458188	24.8513915043863	23.0861502984969	22.7477119476292	1	18.9065758613197	1	13.8157972866799	1	14.9211526760619	27.215811026829	1	606.045068927196	105.568904123538	1	1	1	1
AC092436.3	36.541099146507	40.5690088415609	64.2217883063275	21.1858842525056	57.3927856998003	1	40.9438633181256	33.8210571824927	53.5487349818738	1	1	1	1	1	1	1	156.182606613725	1
AC092490.2	25.8131446784584	1	1	1	29.4503324084762	1	46.7594104922024	26.0475615636059	28.6952742560621	32.3650268284385	36.1929845142458	51.1631349331086	87.0248390615805	1	79.9753406581167	1	64.5237125655776	1
AC093283.3	1	1	1	25.3940792718544	1	1	37.4340976363398	1	1	1	1	1	84.3275994414634	1	1	1	1	1
AC093310.1	88.2722986704115	125.806559779397	121.629453623105	45.9101453357056	40.7747900018286	37.8245169583414	228.135748779098	101.76057228294	198.543446723029	144.564032251894	161.18174469562	94.1386926158787	1	1	1	1	105.414675577118	1
AC094086.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	222.651681478287	216.180306821186	1
AC099797.1	1	23.0529045957216	32.6005512425228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC105206.1	187.327306084583	229.110585768123	183.326491409074	132.840322971498	57.6594460395985	63.6741361843885	31.5031996129718	16.3878997199649	1	42.6832185355121	36.99534103692	40.6599233593004	1	1	1	1	1	1
AC106037.2	1	24.1571286934298	17.4902847940296	26.3680886062238	1	1	1	1	1	17.1519943241627	1	1	1	1	1	1	1	1
AC107883.1	137.438121807801	98.5532722213266	100.683576329641	121.500141657227	109.382553309243	61.0484536863517	61.3671330383339	71.777803515783	42.5647018485528	69.3268433984656	75.5507868716744	84.3537003030044	136.395806081184	311.890892434073	144.295587306625	435.205866060172	672.661997398531	566.50183816286
AC109486.1	75.5453980951214	47.7417850076455	40.326832224803	102.115091591949	85.7337139648524	32.3309078297854	1	27.2343244883565	1	1	1	1	51.0628019807193	155.637814203263	1	1	1	1
AC110754.1	19.3954314106641	17.2380670315203	18.5808438314914	1	1	1	24.8138991172786	14.1305469439379	1	42.7122573745141	28.1326791873876	46.4828208190249	1	1	1	1	1	1
AC110760.2	43.7631931466593	173.179134027295	176.491399935864	95.9835669525454	1	1	120.032438875349	92.1076443385469	94.7510409883874	47.9747086427613	142.013138316151	54.3091960459241	1	1	1	1	1	1
AC112641.2	1	1	1	22.9936916599347	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC115090.1	59.8042504439233	72.3313673062579	107.094883357117	59.1746744558454	126.017865592614	43.9587065287513	82.8339871929133	131.829839353681	56.1281177905518	55.9339702950813	90.5193754979932	99.661422245961	1	1	1	690.2107610238	1	67.631580832639
AC132186.2	1	20.3876219068535	23.5140301687795	1	1	1	1	28.5579808423666	1	1	1	1	1	1	1	1	1	1
AC135592.2	17.3002287788876	1	19.6838705860389	1	1	1	1	18.750464131144	1	1	1	1	1	1	1	1	1	1
ACAA1	31.0348248443798	26.3114478584555	32.7317162830451	22.3157809023871	1	1	29.0677437834963	13.3627685452056	1	22.3828533468671	29.2594580562499	1	1	1	1	1	1	1
ACACB	1	1	1	1	1	1	1	42.9114566916702	1	1	1	1	1	1	303.903108151271	1	1	1
ACAD8	1	1	22.773983628693	15.5800853134064	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACAD9	1	1	18.4200717235213	1	1	1	1	19.7207468213974	1	22.319400599635	1	1	1	1	1	1	1	1
ACAP3	88.6069013233428	53.2947797778873	71.3472144922088	53.4811080300729	78.715387110552	54.8450946721094	29.9717197442043	33.228954376017	51.9352231511425	45.8617576352353	33.5617371734618	48.6268429631532	1	1	1	72.5502109225952	211.338848702377	1
ACAT2	1	23.46643369431	27.2695137024148	1	1	1	1	27.2135290496293	1	35.6426112542073	1	1	1	1	1	1	1	1
ACCN1	4189.02130166389	2032.71748091897	1584.24119313119	1300.56874974606	18629.8616396745	1544.56201112641	3356.53226502647	4360.96437560046	1471.98419777261	496.422513983391	1319.23243421903	719.002151109714	897.287750148871	873.976959420842	433.94028499015	603.944618381328	611.399226466444	695.676454658032
ACCN2	1	1	1	1	1	1	48.2028302269773	36.442432307024	54.4765538292261	19.6631676825529	1	1	1	1	1	1	117.499832513148	1
ACCN4	1	1	1	1	1	1	67.5540092265447	25.4192788055933	92.1612334862859	1	1	1	1	1	1	1	49.0352966941757	1
ACER2	1	1	1	1	1	1	1	1	1	1	1	1	166.014854745642	1	1	1	1	1
ACLY	1	21.5435080130054	26.8411532650661	23.9142057849488	1	1	35.1108410722017	1	1	27.1925716538478	1	1	1	1	1	1	1	1
ACOT11	1	1	38.1566998314382	17.3394261663883	29.3242611575838	1	1	31.8203944365715	21.5983536400531	1	1	1	1	1	349.0171517286	1	1	1
ACOT8	1	1	1	1	1	1	1	32.9024791855852	1	1	1	1	1	1	1	1	1	1
ACOX1	1	1	16.7675737411554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACP1	1	1	23.6463788405981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACP6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.817328188712	1	1	1
ACPL2	28.1835431159541	33.0188331677615	25.4132992527839	21.0353665198518	18.4210190518442	126.413751092904	1	19.9526180819645	1	24.5665266591159	21.720905308825	1	1	1	1	1	1	1
ACSBG1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	252.958516419481	1	1	1
ACSS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	526.311848070329	1	1	1
ACSS2	1	1	16.925130581099	1	1	1	1	1	33.6004711765555	1	1	1	1	1	1	106.799717449777	1	1
ACSS3	1	1	1	1	1	1	1	1	1	1	1	1	1	254.296775227253	166.721871554507	1	1	1
ACTN2	19.7765679716516	1	15.8642052593224	28.9289288998148	46.087047539252	1	1	31.0776707758776	31.8975540613682	36.6124655812569	1	1	1	1	1	104.303685668607	1	1
ACTR1A	21.7620050809993	32.5511634155965	29.0054811314392	27.5729012273189	1	1	25.449733253437	1	1	20.2429496790559	30.2232107482427	26.7568763521297	1	1	1	1	1	1
ACTR1B	31.0624682334258	35.2901137187517	39.8046689165951	48.6303974088129	17.9442385171004	20.270230010716	1	1	1	25.0937203499374	45.8236841306603	47.7483553021078	1	1	1	1	1	1
ACTR3	18.0143729915099	25.2099188455358	26.8701238997635	30.2080500626511	25.9289370246832	1	19.0817971087149	1	18.3625376453794	24.0651808962874	1	1	78.711870515035	1	1	1	1	1
ACTR6	1	27.3201973450071	27.2195683532054	18.9527715698292	1	1	1	14.0969474815554	1	25.326488704034	22.3786848796671	1	1	1	1	1	1	1
ACVR1	21.4102538975734	1	1	1	1	1	1	25.4744715295026	1	19.2967898155283	1	1	198.931164605545	1	1	1	1	1
ACVR1B	20.6523992158904	33.9497290966974	35.1014447880436	27.8388074115247	32.6907914935896	19.5112544344658	18.1184620881507	27.1406226420284	1	19.9663339373235	24.7266159662466	1	1	1	1	1	1	1
ACVR1C	54.4751207315419	30.0526063537388	1	1	1	47.4535454289926	1	1	1	1	1	1	1	1	1	1	1	1
ACVR2A	28.3828696772753	31.2925382769071	39.251825427462	37.2950148315679	43.8866426737918	1	22.0929810854493	24.1333146326647	43.4315124884644	31.1118016974747	24.965496880298	37.8295764262497	1	1	1	1	1	1
ACVR2B	1	1	1	1	1	1	1	16.1166585958869	1	1	1	1	1	1	1	1	1	1
ACVRL1	1	1	1	1	1	1	1	1	1	1	1	1	178.269957533446	1	1	1	1	1
ACYP1	1	1	1	1	1	1	1	35.6365208767599	1	1	1	1	1	1	1	1	1	1
AD000671.1	1	1	1	1	1	1	1	1	1	20.5663320202234	1	1	1	1	1	1	1	1
ADAL	1	1	1	1	1	1	1	1	1	20.583419394513	22.2761806918452	1	1	1	1	1	1	1
ADAM11	48.9948433270201	38.5571066997181	82.3747102006792	62.0852868803709	68.878267022643	85.6459675368782	26.1181275044101	29.9472908199818	22.1825307778804	35.5070690873456	34.3107801416354	32.2153122567282	1	1	1	1	1	1
ADAM19	1	20.9161716450941	23.9776602099882	22.2247218026561	1	28.7569330223843	1	1	32.1763796982787	1	1	1	1	1	1	1	1	1
ADAM28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1382.90385145739
ADAM32	21.2641449244553	1	21.3004952236834	1	1	1	1	1	1	23.9321190315045	1	1	1	1	1	1	1	1
ADAM33	1	1	1	1	1	1	124.246765933327	37.2450344847231	43.767003046216	1	1	1	1	122.991234041751	1	1	1	1
ADAM9	30.9119531100405	31.1299722592293	30.9901727960516	27.9685324711545	1	1	1	1	1	30.6601473170935	22.0681424346297	32.6536934082324	1	1	1	1	1	1
ADAMTS1	1	1	1	1	1	1	1	1	1	1	1	1	266.598773721941	1	1	1	1	1
ADAMTS10	21.8824532163506	1	24.6726984790686	17.4856726701829	1	1	31.1450545793326	23.2228863406621	1	24.5812836163365	1	1	77.3619729289247	73.8862762728797	1	1	1	1
ADAMTS19	20.3229433911318	29.8313695847941	51.2981037940893	55.6002899055802	130.670326427278	29.2966658795933	46.3759374480861	79.0215559880895	130.932914569598	76.277283050684	1	131.15535125899	48.1226289363847	1	1	1	1	1
ADAMTS2	1	1	1	1	1	1	1	1	1	26.3925544838063	1	1	1	1	1	1	1	1
ADAMTS3	54.8514491141367	1	1	1	1	76.9156215128114	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	73.41594196052	1	1
ADAMTS8	20.5470660796015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTSL1	20.8551111564583	29.1181665980991	33.1941578376244	33.2183471526179	58.812520970874	1	23.9873899557757	20.0370455631001	1	1	1	1	1	1	1	1	1	1
ADAMTSL2	1	1	1	1	1	1	1	1	1	1	1	1	102.380628180169	1	1	1	1	378.894950881855
ADAMTSL3	23.9642936306011	1	1	23.8318288416104	69.316287614643	1	31.0907690323831	48.7691800599583	1	176.216020669677	1	144.844319764345	1	1	1	91.0844428061498	1	1
ADAP2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	214.393976537068
ADARB2	100.548275345784	90.7507319332228	82.7158187656834	135.131331333547	121.94281208324	86.1713442199721	22492.9650530771	31546.7033744527	8884.74113841144	26700.1216881747	101.559896049088	68.3889927747128	247.080912669426	914.454138564677	190.67077904872	560.672664048348	2197.70563181967	203.48529374325
ADC	22.0554934085312	23.7658880748772	19.2464085202585	24.2896243540707	1	1	1	17.0961960182667	1	1	1	1	1	1	1	1	1	153.351803050363
ADCY3	30.586289766727	34.3856476957525	32.4631951077561	28.4007746376859	46.4121544971034	60.4652411947144	29.2031366319143	70.7508151301188	32.5304914082083	30.1578280523038	17.0286683005702	33.4266777193032	1	1	1	1	1	1
ADCY5	1	21.4782769221569	22.1436094950769	32.9751029755991	1	20.2079446985921	42.8563345207666	21.3517066443679	60.0799080442945	31.2059644537563	35.0554916308611	30.3773333081034	1	48.9707491705911	1	87.7080624936097	1	1
ADCY6	1	15.7239568991538	19.701406257471	1	23.6217975043338	1	1	30.8604943649329	1	20.9197866069757	1	1	1	65.6114063027418	1	1	1	1
ADCY8	25.0233358934443	81.3400023057988	70.7409503889989	41.5069286018215	37.3758537256306	1	50.2446928448903	128.12679506302	64.6491834321638	94.5569230241075	196.329434875591	146.525037622116	1	1	176.145857114586	1	178.29908073552	1
ADCYAP1	23.890560895704	19.2297290689355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADCYAP1R1	1	1	1	1	1	1	45.6999855243665	12.3162560078506	53.2040995319269	58.7892642749105	71.551672142617	87.7850377167952	1	1	118.002780448707	1	1	1
ADHFE1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	119.102382376943	1	1	1
ADI1	1	25.8800389578162	1	20.9035580927164	1	21.9234931898352	1	1	1	34.5412577326921	1	28.9103890445346	1	1	1	1	1	1
ADIPOR2	20.9863927785569	28.4233892981384	20.8488059450261	27.6902294680078	1	1	1	1	1	23.3334878771719	21.6001232013447	25.5195511662731	218.481696130787	1	1	216.949007751809	44.2809322753305	91.7176521041315
ADNP2	1	1	21.2491869367571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADO	1	1	15.7088872417824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADORA1	16.898413802355	28.0822373649097	33.1399409296105	34.5760070674864	29.3638685126418	24.0034526313931	1	1	1	1	1	1	1	1	1	83.318472715391	1	1
ADPGK	1	1	1	1	1	1	1	1	1	1	1	1	58.9517182168083	1	1	1	1	113.744790225553
ADRA1A	1	1	1	1	1	1	168.863715079097	262.979006959337	124.357594005465	196.804271261859	77.7683294030663	50.0778228861653	1	1	107.338470382062	1	137.331131173865	1
ADRA1B	18.3075915420792	1	1	1	1	51.7238300746231	88.7313620287952	67.8051718519633	27.4118371696802	1	1	1	1	1	1	1	1	1
ADRB1	24.6897400814732	1	14.7964203288871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADRBK1	21.9433248333157	22.5583686195464	20.2194572266789	1	1	1	1	37.7272605368277	1	27.3718588423766	1	1	1	1	1	1	1	1
AFAP1	29.4314512043662	19.6749889500799	1	17.0848769430172	1	1	74.2469770716848	105.153039121894	96.5410973300818	49.6325813826452	51.7929516357027	47.2573632243274	1	1	1	1	89.060662103553	1
AFAP1L1	1	1	1	1	1	1	1	1	1	1	1	1	83.1593135468745	1	1	1	1	1
AFAP1L2	1	1	1	1	1	1	1	1	1	1	1	1	72.0111217215336	1	1	1	71.7815458258281	1
AFF1	1	36.0471838709784	46.0517498286546	30.7041974533204	63.8420615489611	58.3466016851431	1	34.1578927760884	1	1	37.4369757614422	30.4920874596649	149.701460939387	204.871652452533	94.2006717908328	1	1	348.511115766149
AFF2	1	18.6294195253714	1	1	1	58.5915042309444	86.3248782023221	151.362574168619	32.685059355141	60.8135394975238	54.4753877593511	38.6865635258725	1	1	1	1	1	1
AFG3L1P	17.8516312393232	1	15.5559425766029	1	1	1	1	1	1	25.8582772660037	1	1	1	1	1	1	1	1
AFMID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	85.6541942891933	1	1
AGAP1	280.661570935377	212.710087200751	219.652676291242	274.015563533052	291.328781122868	259.813371851066	196.774312830365	348.946424786128	293.920514081509	141.871238470536	166.040215869434	215.658079843893	468.685281141259	345.131626261392	292.500229060265	1529.95803500082	2915.51750245125	421.803161274739
AGAP2	41.8355489012354	24.8736785513862	34.4606309672866	33.2081974326343	26.7549564158993	25.5954933857793	1	60.8319599170816	1	21.4972315132752	21.2299706220005	1	1	1	1	1	1	1
AGBL1	36.1678934905945	1	1	19.0590981343306	1	1	1	1	1	1	50.3629274399995	1	1	1	1	1	1	1
AGBL3	33.4793624685784	48.7130473440998	33.0631620290709	29.99677170147	1	1	24.5109068487141	109.037884962428	35.9663590386571	40.5317476618868	1	1	108.842451438012	1	1	1	1	1
AGK	21.2419604571056	33.175794117327	25.5948788630531	17.1759490814941	22.1693705516487	1	23.9123125065997	64.4804315882137	1	19.3280210656698	1	1	1	1	1	1	1	1
AGPAT4	66.6021922042979	45.5701880474042	63.0421481759586	88.0440715542579	86.3805530361074	94.0562227071801	79.7441752930478	34.1457145930943	21.2193869332769	95.6316471326794	44.5244074371361	121.432633905078	46.5851140150799	1	1	495.879170381548	97.8926383869432	89.3324358026512
AGPAT5	19.3069976673986	30.7338915835436	21.3807401176684	19.3908550775196	1	1	24.3574257631096	1	1	17.833004856674	1	1	1	1	1	1	1	1
AGPAT6	17.895045964757	21.2336301966167	21.8986349230102	19.6474806831437	1	1	22.1608077645615	1	39.0578319684034	38.5694040261842	34.9667754346505	1	1	1	1	1	1	1
AGPS	26.8635863076097	23.8849985468013	28.1404209242125	22.4251849542922	1	23.8034622055517	32.4689186042198	21.31614343696	1	44.4621956801664	13.6661633584011	26.3830111906275	1	1	1	1	1	83.2884799249327
AGT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	418.651497681985	1	1	1
AGXT2L1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	168.088900016604	1	1	1
AGXT2L2	18.8738491933871	1	19.5399954606327	24.370384095243	31.8300383553304	1	1	21.5629747738024	1	19.0215128870731	1	1	66.9433003824191	172.209310401273	1	1	64.796189739594	1
AHCYL1	35.2903732141641	40.766678907046	44.4667366487694	44.800853928815	1	14.8216151833985	58.7248606650329	26.7010352429372	29.4842082996162	47.879165971475	46.5466525349956	31.9417738860548	1	79.9653287851204	283.636713933011	1	1	1
AHCYL2	99.244464714425	82.0837145454341	83.6571386523167	71.1288844544384	80.1105198786544	73.8650562708669	49.6358914353503	14.3907423760029	130.91767374247	39.0439298624143	108.151211744929	105.15471321198	185.786193378136	298.011864196838	1571.77163549324	137.087048743399	149.777106283368	234.093154461459
AHDC1	25.907481703108	25.2976414765843	21.7265070672459	44.8948374665283	33.4302360746111	21.0855220991265	48.1455527777811	37.4565732656404	39.4873297108545	44.3572343598816	1	1	1	1	1	1	1	1
AHNAK	1	1	1	1	1	1	1	1	1	1	1	1	346.559899740734	167.873013929172	1	1	1	1
AHNAK2	1	1	1	19.226481968257	1	27.5912559759282	1	1	1	1	1	1	1	1	1	1	1	1
