Mixture	Ex1	Ex2	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic	P-value	Correlation	RMSE
159226173	0.206499054387684	0	0.127388415686229	0.20744927792749	0.0698642316779793	0	0.0325033712595355	0.00470925414484603	0.0554655466170443	0.00990322309711793	0.0678686549857967	0.0135794361297612	0.0163876093747143	0.0109275925192136	0.0729638252224332	0.0666521652615485	0.0136124864187461	0.0242258552898605	0	0.646912516558315	0.800237370422305
159226141	0.190899281384371	0	0.143775799626745	0.214931030506582	0.0726937602509325	0	0.0270493848785336	0	0.0649422530868308	0.0149785410611141	0.0581631433503692	0.0207367829651219	0.0135289603379954	0.0111761544316372	0.0999685568768601	0.0242655670700259	0.012915881014536	0.0299749031583464	0	0.621865714470377	0.809562368936725
159226109	0.158920989687348	0	0.130569303290839	0.227171947547068	0.117243979114889	0	0.039689581389412	0.023727561554068	0.0330049494099563	0.000687778031757752	0.0638450107778363	0.0198237325796999	0.0142459519972483	0.00959180422960424	0.0678947487848828	0.0588294212551935	0.0083988962280702	0.0263543441221268	0	0.633323775854989	0.806895414291703
159226171	0.150388584330554	0	0.145566207220748	0.201542009127691	0.086581543795298	0	0.0237518230133829	0	0.0636060214532379	0.0241596095323617	0.0485895699212835	0.0237774552555752	0.0165952425005721	0.0136260445433732	0.128234360566595	0.0223669814910957	0.0183698734596301	0.0328446737886022	0	0.62471229060048	0.802458816809021
159226155	0.176844778749602	0	0.14319332562185	0.222842237625492	0.0682816033568631	0	0.0256285737121656	0	0.0598641049764002	0.0159732367685563	0.0565011748646724	0.0161652572629908	0.0147233099066664	0.0127295392790489	0.124115254164153	0.01264871302534	0.0172804483672732	0.0332084423189266	0	0.644711264850776	0.793041661463374
159225882	0.014051853985706	0	0.253921709829315	0.175036356091102	0.0743294915088437	0	0.0380804421507085	0	0.0775371246563313	0.0121328888110476	0.172519725474837	0	0.0184002019287589	0.0098592578170522	0.046270008147468	0.0780187511448152	7.15501580951557e-05	0.0297706382959193	0	0.614703242693869	0.80112951021058
159225866	0.0262482778883726	0	0.253037457270756	0.179793642079176	0.0781780940494607	0	0.0363262227175064	0	0.0833700592545116	0.0103505993061468	0.15389684848998	0	0.016810914800807	0.0120394603408563	0.0449576538905286	0.0682588530469754	0.00356727515091056	0.0331646417140117	0	0.634170821121582	0.790464777222839
159225850	0.0409547107568002	0	0.28234060960935	0.151215433120799	0.0381563302789236	0	0.0398726325501303	0	0.0740978939803221	0.0155376764402615	0.149586573443506	0	0.0182369678165856	0.0126762188925312	0.0338126761329612	0.104491448524999	0.00843505308125081	0.0305857753715795	0	0.640482740882389	0.780733628534365
159225834	0.0443048852766875	0	0.274939117155808	0.179558091822485	0.046943234195734	0	0.0400561376603787	0	0.0868766378632586	0.020175557838589	0.169919024224282	0	0.0167205763356157	0.0121223069947029	0.0321771722593826	0.0453992379318842	0.00161111179623057	0.0291969086449606	0	0.621478835750971	0.796768047747091
159225818	0.0757134901134573	0	0.306835377884803	0.122113215251869	0.039540535729261	0	0.036371880043276	0	0.0800376916531054	0.0321897029285527	0.143329628738943	0	0.018944340317445	0.0119048008252145	0.0493408503341519	0.0540842033602661	0	0.0295942828196548	0	0.646167544470227	0.776314850523369
159225802	0.0271136127875948	0	0.224646568965604	0.189220648240541	0.0510865749847585	0	0.0470797815861149	0	0.0814637118532351	0.0128333270002089	0.17884660880105	0	0.0148387777273533	0.00995348873536917	0.0407078396031854	0.0876542244487501	0.00482839775286591	0.0297264375133686	0	0.625871873595711	0.797930956667491
159225786	0.0445852963008415	0	0.252942699254362	0.188103155261037	0.0474377847694475	0	0.032134597112405	0	0.0821729027742946	0.0242235604100018	0.161240720671017	0	0.0157059344828175	0.0111929825849825	0.0369775137561122	0.072810366573282	0.002593637350142	0.0278788486992575	0	0.647452121274598	0.782392227136502
159226119	0.00779885758432829	0	0.275334711214352	0.174829871101363	0.0559152842321522	0	0.0506914744995463	0	0.0601052426740641	0.00881744095127662	0.125707387945687	0	0.0148741395836883	0.011664354173776	0.0320499632885085	0.141186466245003	0.0124866021811932	0.0285382043250612	0	0.63714506900897	0.780772073889288
159226103	0	0.00134363619638236	0.322196606965068	0.160877627796546	0.0918347544056731	0	0.0531605883129792	0	0.0613419477556179	0.00526492452641259	0.154176248951933	0	0.0170904722043954	0.0112341083050686	0.0447943818390642	0.0428134684415089	0	0.03387123429935	0	0.648454291745353	0.773648365568275
159226167	0.075451291783207	0	0.262686540067276	0.142316765207929	0.074738223222084	0	0.033761761146423	0.000929608285144385	0.0637142809102217	0.0221192435935177	0.0995240168223349	0	0.0190221300863723	0.0156448677363176	0.0660005969786786	0.0845187402507696	0.00720036026942672	0.0323715736402974	0	0.642930229827092	0.781139199977631
159226151	0.00837349204473532	0	0.264499303118543	0.218396809353965	0.0817399368852293	0	0.0694705556858592	0.01695500413801	0.0474849016273544	0	0.155164776549608	0	0.014420589983371	0.0124827092320066	0.032984246025816	0.0444130765072892	0.00216517344813104	0.0314494254000822	0	0.642876085544165	0.784909098711196
159226135	0.0294985083834145	0	0.252144203649529	0.188924743230583	0.0570803949143124	0	0.0502076363262062	0.00520544728182579	0.067849149425731	0.0038703184324221	0.179929116971977	0	0.0153529983303444	0.0114031121115345	0.0292606264586944	0.074236393599069	0.00530862649022166	0.029728724394135	0	0.650237782335219	0.781261174611679
159225722	0.0490229900930909	0.000312094165915648	0.224352345445825	0.21546350243617	0.0662790618995314	0	0.0567149878844602	0	0.0820831236061417	0.0181154522803474	0.17510079739126	0	0.0175382193819902	0.0117844053455975	0.0210372672770737	0.0303723759173812	0.00435818961466766	0.0274651872605468	0	0.576701947392634	0.829319439950174
159226215	0.00919252389751752	0	0.262377167668629	0.124263463025527	0.0848084406590028	0	0.0320988946705154	0	0.0642237095275364	0.0184145890982469	0.14104783581562	0.000905788352757769	0.0189587729102242	0.0132499090614505	0.0312450734008123	0.159407827855433	0.00467726557231731	0.0351287384844099	0	0.638120144408552	0.779786186463914
159226199	0.054064930740713	0	0.231941052415092	0.232693142034865	0.0476482003203899	0	0.0486377941885961	0	0.0824193725985955	0.0120361191098844	0.190742466643461	0	0.0160035719084936	0.0108675402869869	0.0289648943508518	0.0170530577327528	0	0.0269278576693186	0	0.607327242167797	0.811578704974348
159226183	0.0495836844985785	0	0.230873689633131	0.176008902669059	0.0646791503952768	0	0.0334661296752838	0	0.0704455373380066	0.00718392552635685	0.125255161077826	0.00123417554980924	0.0153979702545118	0.0116142739342724	0.032994166371484	0.144930009636358	0.0061809879401266	0.0301522354999198	0	0.638182553722262	0.784406155418132
