Mixture,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex8,In1,In3,In4,PVALB,SST,End,Per,Ast,Oli,OPC,Mic,P-value,Correlation,RMSE
594,0.0738615989243773,0.0387491283810649,0.250996305553585,0.101445433840721,0.08167010922133,0,0.0219953438665719,0,0.0519662342864757,0.0421110083349409,0.0828544639063896,0.013314021275316,0.0231890100144879,0.010857655995693,0.0970081404610205,0.0687564351809188,0.0158257099697882,0.0253994007873193,0,0.664774405530898,0.770886559571507
787,0.150048732860982,0,0.122199926040602,0.222456128100216,0.147173857738369,0,0.0337869010626554,0.00306958028611493,0.0454983204924818,0.0137396192604232,0.0950062184875759,0.0266975323761314,0.0181067456627889,0.00895025633504433,0.0293127686122784,0.045448206601687,0.0091858509447818,0.0293193551378677,0,0.556956396715876,0.857145004956809
961,0.177110678338819,0,0.157493189764319,0.165580642709123,0.0564505295104397,0,0.0314564337160729,0.00226742560891956,0.0561659008240321,0.0424576942834803,0.101292410387688,0.00793153436859998,0.0212640847328949,0.0101351217203154,0.0673021245423207,0.0514962790030671,0.0212826883321023,0.0303132621578058,0,0.642660284763997,0.804086740437522
428,0.0281624286987608,0.0284465526486673,0.216312324682502,0.126373778415301,0.0466902472625307,0,0.0361183759465053,0.0066215377823216,0.0398410700355186,0.0584120671211897,0.0948069107902718,0.012289659100244,0.0228012853161335,0.0106439998221052,0.106753762005149,0.119648680137029,0.0190018248181784,0.027075495417592,0,0.620118999797461,0.797910292060776
969,0.176459441121558,0,0.198718408557276,0.145627184950461,0.0750190123853516,0,0.0252148671690825,0,0.0634273484042138,0.0374236487380132,0.0646845481880952,0.00744599712593635,0.0217303208525014,0.00828562570460517,0.0523867966191432,0.077364939456354,0.0185833939069791,0.0276284668204295,0,0.626304592849905,0.80888262173492
973,0.221860184180256,0,0.156795478600364,0.183666767133531,0.0399663709363767,0,0.032016599512826,0.0164922532658686,0.0529325793224573,0.0479936258978993,0.0784142609851181,0.00190562116691562,0.0217198667681997,0.00924269987332193,0.0779535128578118,0.037923746358344,0.0094097999603645,0.0117066331803452,0,0.64042842632744,0.800798790544219
981,0.215471001619852,0,0.14564804560437,0.200500624701609,0.077120726966036,0,0.0339227761488979,0.00353528066673857,0.0596516154923662,0.0376490091041777,0.094641570456815,0.00376344332726793,0.0180765778650944,0.00684697555385818,0.0497737215493435,0.00734847578998497,0.0161311077783969,0.0299190473751923,0,0.595947534935595,0.832598117627623
989,0.346521387786617,0,0.126418509374768,0.14565902148394,0.0583498110352174,0,0.0185577209930878,0,0.0524897906867503,0.03000385829742,0.0592029135071385,0.0109962181331074,0.0188338080683703,0.0092732476737159,0.0410027841277344,0.0430937226528338,0.0200449599477358,0.0195522462315634,0,0.601821531818456,0.834251513150404
965,0.287238661569522,0,0.125099745705567,0.150867575070458,0.0595091382108985,0,0.0229617954534423,0.00566149156892153,0.0548989901123515,0.0433418973601681,0.0903482723908048,0.00524067286065853,0.0204779997529169,0.00836150465838089,0.0481299307571769,0.0325749618764958,0.020596746249929,0.0246906164023087,0,0.60012613776176,0.83348316827188
1052,0.279281692731011,0,0.170446599216865,0.142398881476185,0.0719802688009073,0,0.028239457655112,0,0.0504737450744531,0.0262633417409411,0.0783984014827686,0.0147062020415655,0.0186926987614698,0.00612520640620721,0.043485520290045,0.0332934846717192,0.0193486001603217,0.0168658994904274,0,0.637756236158028,0.811153374391639
1044,0.0718109629247313,0,0.175268421026665,0.143832158418977,0.0654972217554201,0,0.0260044234712792,0,0.0515294231880464,0.0373837701695749,0.0848895936854442,0.0272938106983314,0.0272596896281211,0.010933256821026,0.0762018686596941,0.161244602155002,0.0156885011098223,0.0251622962878652,0,0.639674830101076,0.796235530071608
1020,0.0404424000617938,0.0319909522884586,0.228401532258983,0.114686931404499,0.0633246181172775,0,0.0271309147533432,0,0.0448696977270376,0.0618899775075425,0.0787494642184768,0.00673370772827336,0.0263708845068251,0.0117048382537568,0.085258476894927,0.134484306262999,0.0160567562479021,0.0279045417679044,0,0.625052554755147,0.797535473102192
1012,0.208780995892817,0,0.146513932153902,0.154499381248522,0.059397886360326,0,0.0263691071283634,0.011467545298232,0.0626967536949636,0.0625299041582832,0.0667020788344786,0.00135751993408059,0.0239006838922524,0.0112402589312122,0.0886919020739175,0.0276739222916697,0.021032228758781,0.0271458993481986,0,0.608372651525365,0.815851219543291
1051,0.206515944100983,0,0.185570870815271,0.161424373187419,0.0764221031075333,0,0.0259432330896083,0.00651726888480132,0.0530415071108541,0.049240011168562,0.0845238429878203,0.00247481806730958,0.0170519318209169,0.00922099368569837,0.0630576595743201,0.0156233602811942,0.0161730015375953,0.0271990805801134,0,0.641184745276977,0.80098561861626
964,0.162507723402852,0,0.165101398151905,0.17996206502729,0.0773952262071735,0,0.0353562099150768,0,0.0535022280328307,0.0393760087648388,0.0735873817767497,0.00564609968841722,0.0184174783210144,0.00932426489173203,0.0511680858783983,0.0865008447209462,0.0196757143531107,0.022479270867665,0,0.637919784296653,0.808716753734226
980,0.251507029917599,0,0.147728363442164,0.183421586968478,0.0606835726309792,0,0.0191179081895969,0.00285119946900702,0.054678169342959,0.0392538665183183,0.101031529446812,0.00168955723867457,0.0193061627604079,0.00845243103667351,0.0674320163066747,0,0.0194752156970538,0.0233713910346028,0,0.628722100217135,0.812169175646531
