Mixture	Ex1	Ex3	Ex4	Ex5	Ex6	Ex8	In1	In2	In3	In4	PVALB	SST	End	Per	Ast	Oli	OPC	Mic	P-value	Correlation	RMSE
141667089	0.0766329722944451	0.287723064946634	0.269828206531647	0.0717619983909746	0	0.0521651790497567	0.026886580849761	0.0437312876759975	0	0.00302706347263181	0.0408731318409088	0.0622526571931752	0.0120394623258948	0.00392477914800196	0.0194529037792642	0.0165547233766152	0	0.0131459891242924	0	0.532063571391922	0.847844977436646
141667177	0	0.443779229984447	0.256782602767248	0.0802737605188216	0	0.0461125542637226	0.0175054479787847	0.0215828601991558	0	0.0248464007160508	0.0279737557710646	0.0106335487013083	0.0104138497722228	0.00570434601022604	0.0149133648893398	0.0237058980246831	0	0.0157723804029249	0	0.529355090341505	0.848524397407648
141667207	0.145526828206542	0.374867859743082	0.169642092330999	0.0556486751969492	0	0.032895952835226	0.0165753868408479	0.0305987913120612	0	0.0148980293034202	0.0226746107719499	0.02911049575604	0.015418334290333	0.00598225741014019	0.0268166634158293	0.0424699388410805	0	0.016874083745501	0	0.557921308784926	0.831670428259519
139409861	0.0264315683145465	0.373020000103024	0.262168175176961	0.053556864782392	0	0.057696138545502	0.0104994029215706	0.0202098587741713	0	0.00759949330709777	0.0187804646938607	0.0393634294100317	0.0159880284681905	0.0109956969019699	0.02851191019593	0.0297489448854806	0.00826932030254029	0.0371607032167312	0	0.466509193673995	0.885458465828477
139409845	0.147593135567951	0.313787681190563	0.242010925654925	0.0597694207205677	0	0.03807233879638	0.0208891553307986	0.0344463765648942	0	0.00868004569216678	0.0292810485521598	0.0356069988425811	0.0124344728472442	0.00469651687920466	0.0236439123353946	0.0176477164248856	0	0.0114402546002838	0	0.536796417256756	0.844974126219461
139409841	0.193220089031312	0.25420757358467	0.169903957724496	0.120953884824859	0	0.0512543880010756	0.0244581017775312	0.00349906089365194	0	0.0176152611867977	0	0.0226830678423519	0.015011918739428	0.00604459653612136	0.0555519739344404	0.0418443886784797	0.00217218142958325	0.0215795558152022	0	0.506855151335529	0.862418776895226
139409825	0.176178898667521	0.278688909129896	0.218797467600227	0.103453127754726	0	0.0620757980703974	0.0384904127973977	0.00957120349468712	0	0	0.0161327795384129	0.0316074877720643	0.0139121333813147	0.00586905808866243	0.0116944244163449	0.0178282297774788	0	0.0157000695108687	0	0.522604885780878	0.853565217358325
127687007	0.0776615362352643	0.254868467629744	0.274170415015317	0.0855182961570464	0	0.0585379043856483	0.00355306273869063	0.016798876332351	0	0.0116230012831208	0	0.0510486543152332	0.0114280532783813	0.0110344076198827	0.0317221808197098	0.0737242560507213	0.00886976779313339	0.0294411203457553	0	0.495190325839	0.86890906289955
127687057	0.250085711142967	0.108526511358466	0.243791897151148	0.09807410022031	0	0.0581596476939236	0.00898372737602146	0.0293650314890575	0	0.003155925694513	0	0.0625367044126685	0.0164420762089218	0.00652977785088367	0.0394988628353909	0.0466130624920975	0.00579161246643587	0.0224453516071948	0	0.546170772591941	0.842839072072843
127687001	0.158340756427298	0.277193715984176	0.253005276001436	0.103013261532329	0	0.0479224756303706	0.0728108996348296	0	0	0.00680880073150974	0.0134907683945568	0.0305421102072259	0.0148231804179037	0.00446592177223034	0.00387272816752879	0	0	0.0137101050986061	0	0.516727249658564	0.856757718701942
127687065	0.211013934580506	0.27037327697791	0.226668713431762	0.0405918829996378	0	0.0283473504487757	0.0642678747573865	0.00642566287320474	0	0.0349665921598395	0.00641951414657448	0.0205931894603992	0.0160078910731958	0.00607389388862634	0.0229694725116223	0.0196915223394877	0.00360622109081527	0.0219830072602572	0	0.500690589458287	0.865939046855043
141667185	0	0.394744501134577	0.237102224235705	0.117231394902531	0	0.0417263446526009	0	0.0400126215818125	0	0.00108643863128394	0.0330535838409229	0.0413839090042012	0.0150530988793425	0.00461407879349938	0.0167549876071484	0.0404004159354121	0	0.0168364008009636	0	0.560052938035881	0.829788858622868
141667169	0	0.363450531117249	0.354348313192788	0.0205133281794441	0	0.0466625477608282	0.00482489024346094	0.0434838330034699	0	0.00195546598581996	0.039198134455239	0.037740795921389	0.0162388009276529	0.00374931761373558	0.0172318632040326	0.0393524283798932	0	0.0112497500149982	0	0.590811971335814	0.810885693595097
141667153	0	0.361987539323622	0.298748551559189	0.150940956908092	0	0.0450944324837296	0	0.0222523127059716	0	0.0093608168934502	0.0327228541062766	0.0287365654755926	0.0151214662184233	0.00350516845992601	0.0121276821111191	0.00798766648029305	0	0.0114139872743149	0	0.566676960670376	0.825936160971361
141667137	0	0.462338167720632	0.244659464210128	0.108942423744753	0	0.0434718175231025	0.00282233055710083	0.0184399025070315	0	0.00864453989085686	0.0408928905854581	0.0173563720988609	0.014877998685307	0.00213597461189964	0	0.0258011717691471	0	0.00961694609572208	0	0.561035858598494	0.828398936239663
141667229	0.0285320579457857	0.439841157666032	0.225296060752271	0.0715782566313873	0	0.049634463193296	0.0429888124881213	0.0207023192116645	0	0.00449821892682503	0.0350288176377004	0.0296322201781214	0.0127519959393969	0.00428269022932317	0.0072038633180349	0.0154033778504714	0	0.0126256880315684	0	0.595345201979509	0.806383479481683
141667103	0.0645829591071911	0.353261992149964	0.239312759663481	0.093286560969042	0	0.0493035847711544	0.0475139070952923	0.0232896071156273	0	0.000512039009135787	0.0384666282514531	0.0365537211674193	0.0130808037107264	0.00451857608761108	0.0103393990330741	0.012985795855065	0	0.0129916660137632	0	0.586778046230961	0.813717544312984
141667199	0	0.324653297091149	0.321639167101834	0.142676229907513	0	0.0407418154778889	0.0107431598810944	0.0327224164186189	0	0.00408401777520622	0.036223975940167	0.0359026145785817	0.0165506229446219	0.00562798140489837	0.00862897692120244	0.00450132301314574	0	0.0153044015440788	0	0.557874739939063	0.831899514291174
141667183	0.073361202882367	0.378513820658388	0.253227303215531	0.0376383940377099	0	0.0290348919040077	0.0545021633227836	0.0217685428941938	0	6.63573726248596e-05	0.049627763624186	0.0291474479223891	0.0146447699540505	0.00475998169403933	0.00756332343977016	0.0306159861854901	0	0.0155280508924686	0	0.56761524040555	0.825225007193661
141667263	0.00256455776424165	0.505197158528214	0.203456108621139	0.0996054880235586	0	0.0509277399564674	0.016650405895649	0.0187436557348881	0	0	0.0338656581942843	0.0336872775401169	0.0109758291883369	0.00414546808775884	0.00263303057539009	0.00725543436655514	0	0.0102921875233998	0	0.604721784725334	0.798828401010491
141667179	0.0661018201734516	0.329591003971242	0.23343669121776	0.117751313695666	0	0.0665452669538524	0.0329778046656803	0.0171069739934681	0	0	0.0251734687857084	0.038815803011626	0.0116696865878181	0.0051822114808243	0.0125364705649994	0.0290437547910925	0	0.0140677301068098	0	0.564445069716235	0.828041340974566
